t_name,male_14A,male_14B,male_14C,male_14D,female_14A,female_14B,female_14C,female_14D,gene_name
FBtr0345848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45404
FBtr0076183,11.972755000000001,4.218881,2.8087720000000003,0.0,3.654578,11.733267,4.360437999999999,0.0,CG6175
FBtr0333388,3.8756769999999996,3.367171,1.999004,0.0,2.600964,5.088367,1.604381,0.0,CG6175
FBtr0333389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6175
FBtr0076171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7573
FBtr0339927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR44361
FBtr0345692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043345,CG6168
FBtr0076182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085134,CG6168
FBtr0343037,0.0,0.0,0.0,0.0,0.0,0.111598,0.0,0.0,CR44721
FBtr0343035,0.0,0.0,0.0,0.0,0.0,0.171025,0.0,0.0,CR44722
FBtr0343036,0.0,0.0,0.0,0.0,0.264727,0.0,0.0,0.0,CR44723
FBtr0345411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45250
FBtr0345412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR45251
FBtr0076181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6163
FBtr0333387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6163
FBtr0344308,2.251421,2.074557,2.07386,1.1449690000000001,1.078516,3.063259,0.793734,0.494217,CR45036
FBtr0344645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR42755
FBtr0076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11726
FBtr0339928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG44362
FBtr0339929,0.0,0.0,0.119203,0.0,0.0,0.0,0.0,0.0,CR44363
FBtr0076173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7560
FBtr0300274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6149
FBtr0340698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR44548
FBtr0340699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR44549
FBtr0076174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7557
FBtr0076175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7557
FBtr0076178,0.0,0.082303,0.0,0.0,0.0,0.0,0.0,0.172179,CG12289
FBtr0076176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105718,CG7551
FBtr0076177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6140
FBtr0331828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG6140
FBtr0302359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vha16-3
FBtr0076090,0.0,0.0,0.0,0.394985,0.0,0.0,0.19558399999999998,0.6137729999999999,Vha16-3
FBtr0347255,0.0,0.089556,0.0,0.0,0.0,0.0,0.0,0.0,CR46049
FBtr0076091,0.0,0.096481,0.0,0.0,0.0,0.0,0.0,0.0,Vha16-2
FBtr0076093,2.684023,0.0,1.3228799999999998,0.0,0.0,0.0,1.1230360000000001,6.340984,chrb
FBtr0344910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chrb
FBtr0076094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33500
FBtr0076160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sgs8
FBtr0076095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sgs7
FBtr0076159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33272
FBtr0076096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sgs3
FBtr0113163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7512
FBtr0346859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11714
FBtr0100588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fuca
FBtr0346860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fuca
FBtr0076156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11714
FBtr0339510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG11714
FBtr0089333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mob2
FBtr0089332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5325740000000003,Mob2
FBtr0333217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mob2
FBtr0089331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mob2
FBtr0089330,0.0,0.0,0.0,4.978382,0.0,0.0,0.0,3.773135,Mob2
FBtr0309720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-4968
FBtr0309721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mir-4968
FBtr0333215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG7394
FBtr0076098,11.712299,12.845025,10.087917,28.58605,15.43108,6.549087999999999,25.106524,10.47589,CG7394
FBtr0305648,4.756173,5.2161550000000005,4.096539,11.608328,6.266309,2.659478,0.9135559999999999,4.254087999999999,CG7394
FBtr0290024,1.6419560000000002,0.49790100000000004,6.639492,3.598723,0.938,0.8932209999999999,1.361467,5.695105,CG7394
FBtr0305649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33267
FBtr0089526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33490
FBtr0333216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33489
FBtr0089525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33489
FBtr0076150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33271
FBtr0076149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33270
FBtr0308059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG43390
FBtr0308058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG43391
FBtr0308057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33269
FBtr0076148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG33269
FBtr0076147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32086
FBtr0305322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CG32086
FBtr0076146,0.0,0.0,0.0,17.052270999999998,0.0,0.0,4.927307,16.990494,rt
